"gene_id","G13_C_1","G13_C_2","G13_C_4","G13_N_1","G13_N_2","G13_N_3","G18_C_1","G18_C_2","G18_C_4","G18_N_1","G18_N_2","G18_N_3","G3_C_2","G3_C_3","G3_C_4","G3_N_1","G3_N_3","G3_N_4","G8_C_2","G8_C_3","G8_C_4","G8_N_1","G8_N_2","G8_N_3"
"Zm00001eb165980",0,0,2,6,2,2,0,1,1,2,0,0,41,79,89,58,29,47,0,0,0,0,0,0
"Zm00001eb165990",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166020",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Zm00001eb166070",0,0,0,0,0,0,0,0,1,6,3,3,4,12,15,5,5,1,1,9,1,0,4,0
"Zm00001eb166080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166120",3,5,24,0,5,12,14,17,16,88,112,21,11,23,16,67,66,23,15,42,18,54,40,26
"Zm00001eb166140",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Zm00001eb166150",1087,951,1156,1050,901,882,512,682,250,1018,675,544,563,1111,2276,1681,412,695,977,626,815,496,491,561
"Zm00001eb166160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166180",301,232,291,265,323,363,489,831,321,662,819,649,497,598,737,953,351,505,291,509,323,271,337,291
"Zm00001eb166190",134,136,111,171,128,215,101,124,61,119,138,152,53,60,68,124,41,70,78,63,62,47,40,63
"Zm00001eb166200",38,5,10,41,25,21,9,22,6,7,12,10,0,0,0,2,0,0,20,14,25,39,9,32
"Zm00001eb166210",18,23,35,7,10,11,0,18,3,4,0,4,11,21,14,24,5,1,3,6,7,4,4,0
"Zm00001eb166220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,3,0
"Zm00001eb166230",8,40,0,5,1,14,0,0,0,3,5,25,0,0,0,11,0,4,0,0,0,0,3,0
"Zm00001eb166240",50,5,69,89,24,38,21,22,1,6,5,2,0,14,37,32,2,1,281,305,191,385,552,289
"Zm00001eb166250",0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0
"Zm00001eb166260",2033,1671,1621,1826,1471,1576,942,1927,638,1432,1863,1425,1229,1801,2473,1884,991,1575,1680,3079,1915,1374,1775,1910
"Zm00001eb166270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166290",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,0,0
"Zm00001eb166300",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166320",6,11,22,19,2,5,0,0,0,0,0,0,27,37,137,118,40,67,59,35,21,26,29,17
"Zm00001eb166340",34,63,48,73,40,36,3,0,0,0,18,0,81,122,216,188,94,107,76,109,67,64,43,50
"Zm00001eb166360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zm00001eb166370",2,2,3,2,3,5,0,0,0,0,0,0,10,9,41,21,9,10,8,13,10,12,11,7
"Zm00001eb166380",4,4,3,13,0,5,41,155,27,138,219,143,206,300,408,396,189,221,298,407,328,324,359,345
"Zm00001eb166390",31,26,37,56,10,54,46,76,29,222,454,233,82,84,95,378,66,75,434,168,199,163,212,276
"Zm00001eb166400",14,18,29,40,33,29,0,0,0,6,6,1,43,59,74,97,46,39,5,22,9,57,6,14
"Zm00001eb166410",49,55,118,418,168,622,68,269,56,434,332,223,157,767,840,1275,505,584,77,476,136,474,282,334
"Zm00001eb166420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Zm00001eb166430",0,0,0,0,0,0,5,5,1,1,0,2,3,0,7,2,0,2,3,0,0,0,0,0
"Zm00001eb166440",527,616,842,1382,1107,1548,232,465,136,624,1132,616,1022,1560,1776,3580,1139,1418,689,1558,863,853,1100,1144
"Zm00001eb166450",347,278,338,520,416,296,256,935,198,750,852,662,688,639,398,879,265,339,576,687,593,778,637,683
